Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,,,Date,Close Price,upperlimit,lowerlimit,label
RELIANCE,EQ,20-Feb-20,1503.8,1497,1508,1483.8,1487,1485.95,1495.83,7722577,11551669677,176470,4689093,60.72,,,20-Feb-20,1485.95,1560.2475,1411.6525,FALSE
RELIANCE,EQ,24-Feb-20,1485.95,1469.75,1477,1439.55,1447.1,1444.95,1462.78,9769743,14291004524,237165,6097347,62.41,,,24-Feb-20,1444.95,1517.1975,1372.7025,FALSE
RELIANCE,EQ,25-Feb-20,1444.95,1451.4,1451.4,1410,1420,1416.4,1432.47,12684109,18169572259,281387,8329207,65.67,,,25-Feb-20,1416.4,1487.22,1345.58,FALSE
RELIANCE,EQ,26-Feb-20,1416.4,1410,1412.35,1387.35,1389.5,1392,1399.83,13423661,18790808836,268512,8145083,60.68,,,26-Feb-20,1392,1461.6,1322.4,FALSE
RELIANCE,EQ,27-Feb-20,1392,1388,1393.8,1369,1380.45,1386.25,1381.33,11454300,15822175752,240043,6101634,53.27,,,27-Feb-20,1386.25,1455.5625,1316.9375,FALSE
RELIANCE,EQ,28-Feb-20,1386.25,1354.9,1357,1325,1327,1328.65,1338.96,17973847,24066201012,373466,9944010,55.32,,,28-Feb-20,1328.65,1395.0825,1262.2175,NOTE
RELIANCE,EQ,2-Mar-20,1328.65,1355.1,1369,1301.1,1322,1316.15,1343.4,13486634,18117990645,274282,7208383,53.45,,,2-Mar-20,1316.15,1381.9575,1250.3425,FALSE
RELIANCE,EQ,3-Mar-20,1316.15,1329.7,1353.9,1322,1346.35,1342.85,1339.28,12525809,16775518804,275521,6009681,47.98,,,3-Mar-20,1342.85,1409.9925,1275.7075,FALSE
RELIANCE,EQ,4-Mar-20,1342.85,1352,1353.8,1307.9,1349,1339.7,1331.24,10105782,13453213012,297606,4158028,41.15,,,4-Mar-20,1339.7,1406.685,1272.715,FALSE
RELIANCE,EQ,5-Mar-20,1339.7,1352.2,1357.95,1306,1309.9,1311.15,1327.07,13948324,18510367253,319378,6943317,49.78,,,5-Mar-20,1311.15,1376.7075,1245.5925,FALSE
RELIANCE,EQ,6-Mar-20,1311.15,1270,1288.15,1241.1,1269.85,1271,1271.62,15422068,19610974599,389652,9634796,62.47,,,6-Mar-20,1271,1334.55,1207.45,FALSE
RELIANCE,EQ,9-Mar-20,1271,1240.05,1241,1095,1104.5,1114.15,1143.56,40317808,46105953149,846382,19195053,47.61,,,9-Mar-20,1114.15,1169.8575,1058.4425,NOTE
RELIANCE,EQ,11-Mar-20,1114.15,1108,1178.45,1108,1152,1153.55,1157.92,27237627,31538987521,490124,12424367,45.61,,,11-Mar-20,1153.55,1211.2275,1095.8725,FALSE
RELIANCE,EQ,12-Mar-20,1153.55,1085,1101,1048.7,1059,1063,1076.2,25588170,27538049024,646095,13287100,51.93,,,12-Mar-20,1063,1116.15,1009.85,FALSE
RELIANCE,EQ,13-Mar-20,1063,998,1140,942.4,1116.95,1105.3,1053.35,33509757,35297404438,706395,14587908,43.53,,,13-Mar-20,1105.3,1160.565,1050.035,FALSE
RELIANCE,EQ,16-Mar-20,1105.3,1060.55,1079.7,1005,1012.2,1015.7,1046.83,17594729,18418745886,441083,8819285,50.12,,,16-Mar-20,1015.7,1066.485,964.915,NOTE
RELIANCE,EQ,17-Mar-20,1015.7,1047.25,1060,1003.2,1011.5,1008,1034.68,20777442,21497994559,463953,10596500,51,,,17-Mar-20,1008,1058.4,957.6,FALSE
RELIANCE,EQ,18-Mar-20,1008,1025.3,1035.9,961,976.45,968.5,992.19,20450497,20290776264,499736,8751121,42.79,,,18-Mar-20,968.5,1016.925,920.075,FALSE
RELIANCE,EQ,19-Mar-20,968.5,920.1,967,892.2,917.7,917.7,918.86,28072062,25794360274,636588,13023488,46.39,,,19-Mar-20,917.7,963.585,871.815,NOTE
RELIANCE,EQ,20-Mar-20,917.7,939.5,1034.9,930,1028,1017.95,983.98,28967526,28503444362,589033,12676996,43.76,,,20-Mar-20,1017.95,1068.8475,967.0525,NOTE
RELIANCE,EQ,23-Mar-20,1017.95,916.2,950,875.65,891,884.05,899.32,18593713,16721615106,569206,9759892,52.49,,,23-Mar-20,884.05,928.2525,839.8475,NOTE
RELIANCE,EQ,24-Mar-20,884.05,930,970,895.8,946,943.4,934.85,20919322,19556500214,590891,8384530,40.08,,,24-Mar-20,943.4,990.57,896.23,NOTE
RELIANCE,EQ,25-Mar-20,943.4,963.8,1151.55,963.25,1074,1082.25,1053.49,33433126,35221338455,799060,16920113,50.61,,,25-Mar-20,1082.25,1136.3625,1028.1375,NOTE
RELIANCE,EQ,26-Mar-20,1082.25,1095.8,1116.9,1042.35,1069,1066.2,1074.95,20912934,22480324150,592742,8024956,38.37,,,26-Mar-20,1066.2,1119.51,1012.89,FALSE
RELIANCE,EQ,27-Mar-20,1066.2,1095,1107.3,1046.2,1067.95,1065.6,1070.06,19044644,20378895931,502817,8854044,46.49,,,27-Mar-20,1065.6,1118.88,1012.32,FALSE
RELIANCE,EQ,30-Mar-20,1065.6,1040.6,1074.8,1020,1031.5,1030.45,1044.14,13820286,14430304003,386770,5108078,36.96,,,30-Mar-20,1030.45,1081.9725,978.9275,FALSE
RELIANCE,EQ,31-Mar-20,1030.45,1073.95,1129.8,1048,1100,1113.75,1093.37,20249909,22140676569,506536,8062531,39.82,,,31-Mar-20,1113.75,1169.4375,1058.0625,FALSE
RELIANCE,EQ,1-Apr-20,1113.75,1122.25,1124.6,1045.2,1084,1080.45,1072.84,19017099,20402365414,414675,7771573,40.87,,,1-Apr-20,1080.45,1134.4725,1026.4275,FALSE
RELIANCE,EQ,3-Apr-20,1080.45,1134.45,1134.45,1056.3,1088,1077.45,1077.52,18912044,20378095230,519365,6471589,34.22,,,3-Apr-20,1077.45,1131.3225,1023.5775,FALSE
RELIANCE,EQ,7-Apr-20,1077.45,1102.1,1214,1100,1211,1206.1,1161.27,24859057,28867992304,556669,9176463,36.91,,,7-Apr-20,1206.1,1266.405,1145.795,NOTE
RELIANCE,EQ,8-Apr-20,1206.1,1180,1229,1160,1197,1192.15,1194.6,22803774,27241443068,538577,7545325,33.09,,,8-Apr-20,1207.1,1267.455,1146.745,FALSE
RELIANCE,EQ,9-Apr-20,1192.15,1214,1232.8,1193,1217.75,1219.95,1214.91,15101711,18347214247,368355,4543136,30.08,,,9-Apr-20,1208.1,1268.505,1147.695,FALSE
RELIANCE,EQ,13-Apr-20,1219.95,1203.95,1215,1180,1192.5,1189.15,1191.64,10822871,12896993488,263593,2785395,25.74,,,10-Apr-20,1209.1,1269.555,1148.645,FALSE
RELIANCE,EQ,15-Apr-20,1189.15,1197.05,1236,1143,1157.5,1149.85,1191.73,16147959,19243981631,404270,5315163,32.92,,,15-Apr-20,1149.85,1207.3425,1092.3575,FALSE
RELIANCE,EQ,16-Apr-20,1149.85,1149.85,1187.45,1145,1170,1168.05,1172.19,17123533,20071955512,387003,6815679,39.8,,,16-Apr-20,1168.05,1226.4525,1109.6475,FALSE
RELIANCE,EQ,17-Apr-20,1168.05,1216,1230,1192.65,1229.9,1224,1208.12,15209707,18375116205,322391,5515033,36.26,,,17-Apr-20,1224,1285.2,1162.8,FALSE
RELIANCE,EQ,20-Apr-20,1224,1226,1257,1202,1248.1,1243.8,1228.75,16472339,20240404168,365965,3828855,23.24,,,20-Apr-20,1243.8,1305.99,1181.61,FALSE
RELIANCE,EQ,21-Apr-20,1243.8,1210,1252,1164,1251.5,1237.35,1204.07,28057706,33783478000,573205,8180117,29.15,,,21-Apr-20,1237.35,1299.2175,1175.4825,FALSE
RELIANCE,EQ,22-Apr-20,1237.35,1320,1384.9,1300,1359,1363.6,1341.48,65230894,87505942711,1194059,15175508,23.26,,,22-Apr-20,1363.6,1431.78,1295.42,NOTE
RELIANCE,EQ,23-Apr-20,1363.6,1367.35,1385.85,1353.3,1370.15,1370.9,1369.1,29928331,40974916121,612506,9233839,30.85,,,23-Apr-20,1370.9,1439.445,1302.355,FALSE
RELIANCE,EQ,24-Apr-20,1370.9,1350.15,1494.95,1347.2,1425.8,1417,1431.67,61711388,88350296136,1154959,9965286,16.15,,,24-Apr-20,1417,1487.85,1346.15,FALSE
RELIANCE,EQ,27-Apr-20,1417,1434,1475,1423,1431,1429.75,1448.31,26736512,38722699505,594518,4031654,15.08,,,27-Apr-20,1429.75,1501.2375,1358.2625,FALSE
RELIANCE,EQ,28-Apr-20,1429.75,1450,1455.45,1392.15,1430,1428.15,1421.22,35866381,50974111341,746066,7100366,19.8,,,28-Apr-20,1428.15,1499.5575,1356.7425,FALSE
RELIANCE,EQ,29-Apr-20,1428.15,1444.9,1453.65,1420,1427,1426.95,1436.42,17141540,24622404116,389293,4350009,25.38,,,29-Apr-20,1426.95,1498.2975,1355.6025,FALSE
RELIANCE,EQ,30-Apr-20,1426.95,1453.95,1494.95,1438.05,1464,1466,1467.88,32617901,47879255960,663204,9287707,28.47,,,30-Apr-20,1466,1539.3,1392.7,NOTE
RELIANCE,EQ,4-May-20,1466,1440,1465,1417.45,1435,1435.2,1442.94,24439240,35264364751,544309,8018280,32.81,,,4-May-20,1435.2,1506.96,1363.44,FALSE
RELIANCE,EQ,5-May-20,1435.2,1453.7,1479,1447.2,1462.65,1460.65,1464.23,20528706,30058697949,412545,4924874,23.99,,,5-May-20,1460.65,1533.6825,1387.6175,FALSE
RELIANCE,EQ,6-May-20,1460.65,1464,1484.95,1445.5,1461.5,1460.75,1468.54,18510304,27183196663,425042,4155906,22.45,,,6-May-20,1460.75,1533.7875,1387.7125,FALSE
RELIANCE,EQ,7-May-20,1460.75,1455,1513.65,1445,1512,1506.95,1484.86,22871529,33961065997,465254,5286803,23.12,,,7-May-20,1506.95,1582.2975,1431.6025,FALSE
RELIANCE,EQ,8-May-20,1506.95,1545,1579.9,1537.1,1559.45,1561.8,1560.62,38522385,60118628771,727915,12438706,32.29,,,8-May-20,1561.8,1639.89,1483.71,NOTE
RELIANCE,EQ,11-May-20,1561.8,1580,1615,1572.3,1575,1576.8,1592.89,30670404,48854566348,576001,11723342,38.22,,,11-May-20,1576.8,1655.64,1497.96,FALSE
RELIANCE,EQ,12-May-20,1576.8,1564.8,1568.35,1465,1486.45,1479.25,1511.39,46029119,69568011663,807575,18435434,40.05,,,12-May-20,1479.25,1553.2125,1405.2875,NOTE
RELIANCE,EQ,13-May-20,1479.25,1527,1527,1454,1492.5,1496.45,1481.1,30658051,45407632804,615366,6403617,20.89,,,13-May-20,1496.45,1571.2725,1421.6275,FALSE
RELIANCE,EQ,14-May-20,1496.45,1469,1496.7,1430.05,1437,1435.95,1457.61,22736714,33141191470,494402,7400518,32.55,,,14-May-20,1435.95,1507.7475,1364.1525,NOTE
RELIANCE,EQ,15-May-20,1435.95,1444,1466.7,1415.1,1453.2,1459.4,1439.85,28683432,41299828010,592403,7448167,25.97,,,15-May-20,1459.4,1532.37,1386.43,NOTE
RELIANCE,EQ,18-May-20,1459.4,1470,1482,1428,1442.55,1440.75,1452.86,28981620,42106270200,575336,5396937,18.62,,,18-May-20,1440.75,1512.7875,1368.7125,NOTE
RELIANCE,EQ,19-May-20,1440.75,1457,1461.7,1403.25,1409.1,1408.9,1436.68,19529216,28057214575,424987,4452799,22.8,,,19-May-20,1408.9,1479.345,1338.455,NOTE
RELIANCE,EQ,20-May-20,1408.9,1410,1446.85,1393,1437.4,1433.7,1426.52,25530692,36419940582,446373,6638736,26,,,20-May-20,1433.7,1505.385,1362.015,NOTE
RELIANCE,EQ,21-May-20,1433.7,1435,1461.45,1425,1440,1441.25,1443.94,18077196,26102458753,353235,5286704,29.25,,,21-May-20,1441.25,1513.3125,1369.1875,NOTE
RELIANCE,EQ,22-May-20,1441.25,1451.8,1458,1426.5,1433,1431.55,1442.31,17458503,25180593225,388907,4083814,23.39,,,22-May-20,1431.55,1503.1275,1359.9725,NOTE
RELIANCE,EQ,26-May-20,1431.55,1448.15,1449.7,1416.3,1426,1424.05,1428.7,15330793,21903166112,341795,7437964,48.52,,,26-May-20,1424.05,1495.2525,1352.8475,NOTE
RELIANCE,EQ,27-May-20,1424.05,1431,1454,1412,1449.85,1445.55,1430.2,16460764,23542230514,348477,6524302,39.64,,,27-May-20,1445.55,1517.8275,1373.2725,
RELIANCE,EQ,28-May-20,1445.55,1455,1479.75,1449,1471.05,1472.25,1467.5,18519252,27176980636,405603,8377100,45.23,,,28-May-20,1472.25,1545.8625,1398.6375,
RELIANCE,EQ,29-May-20,1472.25,1468,1472,1452.65,1470,1464.4,1462.79,18471770,27020285851,300018,10292573,55.72,,,29-May-20,1464.4,1537.62,1391.18,
RELIANCE,EQ,1-Jun-20,1464.4,1480,1538.35,1475.95,1521.9,1520.35,1512.99,18434065,27890475620,354436,5711151,30.98,,,1-Jun-20,1520.35,1596.3675,1444.3325,
RELIANCE,EQ,2-Jun-20,1520.35,1526,1540,1520.8,1537.95,1535.7,1531.68,10224102,15660044884,224472,3522633,34.45,,,2-Jun-20,1535.7,1612.485,1458.915,
RELIANCE,EQ,3-Jun-20,1535.7,1545,1560,1533.35,1543,1541.65,1543.74,11713666,18082824556,227825,5197313,44.37,,,3-Jun-20,1541.65,1618.7325,1464.5675,
RELIANCE,EQ,4-Jun-20,1541.65,1544,1589.5,1541,1576,1579.8,1570.24,15784612,24785560881,356122,4083577,25.87,,,4-Jun-20,1579.8,1658.79,1500.81,
RELIANCE,EQ,5-Jun-20,1579.8,1595,1618,1573.7,1579.2,1581.7,1596.41,15270435,24377905392,339237,3362416,22.02,,,5-Jun-20,1581.7,1660.785,1502.615,
RELIANCE,EQ,8-Jun-20,1581.7,1618.4,1618.4,1565,1571.8,1569.5,1588.27,14498055,23026897487,322987,3584176,24.72,,,8-Jun-20,1569.5,1647.975,1491.025,
RELIANCE,EQ,9-Jun-20,1569.5,1560.3,1583,1533,1535.9,1537.15,1555.91,11934073,18568335407,307011,2953746,24.75,,,9-Jun-20,1537.15,1614.0075,1460.2925,
RELIANCE,EQ,10-Jun-20,1537.15,1543.1,1579.55,1540.05,1575,1572.15,1556.73,10214426,15901058051,262174,2815033,27.56,,,10-Jun-20,1572.15,1650.7575,1493.5425,
RELIANCE,EQ,11-Jun-20,1572.15,1566,1567.95,1531,1538.8,1537.7,1546.33,9408283,14548302925,269490,3034020,32.25,,,11-Jun-20,1537.7,1614.585,1460.815,
RELIANCE,EQ,12-Jun-20,1537.7,1500,1593,1497,1588.7,1588.8,1552.68,17790565,27623018098,337575,4514688,25.38,,,12-Jun-20,1588.8,1668.24,1509.36,
RELIANCE,EQ,15-Jun-20,1588.8,1565,1626.95,1561.1,1612.3,1614.55,1593.39,24509162,39052737199,467105,5136354,20.96,,,15-Jun-20,1614.55,1695.2775,1533.8225,
RELIANCE,EQ,16-Jun-20,1614.55,1643,1648.55,1585.3,1614.05,1617.7,1617.17,23623299,38202982643,424919,5774484,24.44,,,16-Jun-20,1617.7,1698.585,1536.815,
RELIANCE,EQ,17-Jun-20,1617.7,1608.25,1635.45,1602.1,1611.85,1615.35,1618.64,19282519,31211518938,299203,7420780,38.48,,,17-Jun-20,1615.35,1696.1175,1534.5825,
RELIANCE,EQ,18-Jun-20,1615.35,1607,1665,1605.6,1662.9,1655.9,1636.4,18677694,30564098283,327308,7786788,41.69,,,18-Jun-20,1655.9,1738.695,1573.105,
RELIANCE,EQ,19-Jun-20,1655.9,1670,1788.8,1662,1763.2,1759.4,1727.35,48828852,84344321447,752773,15752717,32.26,,,19-Jun-20,1759.4,1847.37,1671.43,
RELIANCE,EQ,22-Jun-20,1759.4,1773.4,1804.2,1735,1752.5,1746.15,1771.18,27781772,49206651889,613265,7287358,26.23,,,22-Jun-20,1746.15,1833.4575,1658.8425,
RELIANCE,EQ,23-Jun-20,1746.15,1750,1763.75,1716.1,1721.7,1720.9,1731.86,17521196,30344310522,400333,2789706,34.87,,,23-Jun-20,1720.9,1806.945,1634.855,
RELIANCE,EQ,24-Jun-20,1720.9,1735.9,1772.7,1711.7,1732.5,1727.85,1739.65,23808524,41418523475,488048,5829283,24.48,,,24-Jun-20,1727.85,1814.2425,1641.4575,
RELIANCE,EQ,25-Jun-20,1727.85,1727,1749,1713.05,1719,1717.9,1728.41,18312705,31651803893,318478,6775567,37,,,25-Jun-20,1717.9,1803.795,1632.005,
RELIANCE,EQ,26-Jun-20,1717.9,1728.8,1752,1717,1750,1741.65,1731.91,14270695,24715505751,279769,5042368,35.33,,,26-Jun-20,1741.65,1828.7325,1654.5675,
RELIANCE,EQ,29-Jun-20,1741.65,1728.05,1739.75,1715.55,1722.7,1723.15,1724.38,11825126,20391055541,225499,4609009,38.98,,,29-Jun-20,1723.15,1809.3075,1636.9925,
RELIANCE,EQ,30-Jun-20,1723.15,1737,1741,1695.55,1707.5,1704.1,1718.1,13973038,24007093966,277133,5567451,39.84,,,30-Jun-20,1704.1,1789.305,1618.895,
RELIANCE,EQ,1-Jul-20,1704.1,1720,1749,1708.05,1736.25,1737.6,1730.01,13136706,22726570311,256982,3073568,23.4,,,1-Jul-20,1737.6,1824.48,1650.72,
RELIANCE,EQ,2-Jul-20,1737.6,1743,1767.6,1735.05,1759.5,1760.35,1755.2,13286760,23320864112,262833,3239259,24.38,,,2-Jul-20,1760.35,1848.3675,1672.3325,
RELIANCE,EQ,3-Jul-20,1760.35,1779.8,1793,1768,1788,1787.9,1781.69,13584004,24202508200,254096,3420711,25.18,,,3-Jul-20,1787.9,1877.295,1698.505,
RELIANCE,EQ,6-Jul-20,1787.9,1805,1858,1792.1,1855,1851.8,1832.66,21698149,39765301081,442095,5644923,26.02,,,6-Jul-20,1851.8,1944.39,1759.21,
RELIANCE,EQ,7-Jul-20,1851.8,1860,1864.35,1806.3,1822.15,1823.45,1831.78,16240102,29748224129,386666,4751023,29.25,,,7-Jul-20,1823.45,1914.6225,1732.2775,
RELIANCE,EQ,8-Jul-20,1823.45,1824.05,1834.95,1790,1795.4,1798,1812.33,12093523,21917489259,285951,4348610,35.96,,,8-Jul-20,1798,1887.9,1708.1,
RELIANCE,EQ,9-Jul-20,1798,1809,1835,1786.25,1826.75,1824.25,1813.36,16807403,30477877600,352813,4527046,26.93,,,9-Jul-20,1824.25,1915.4625,1733.0375,
RELIANCE,EQ,10-Jul-20,1824.25,1828.5,1884.6,1824.25,1880.2,1878.05,1859.58,20195490,37555184972,455198,4248376,21.04,,,10-Jul-20,1878.05,1971.9525,1784.1475,
RELIANCE,EQ,13-Jul-20,1878.05,1903.35,1947.7,1900,1938.7,1935,1927.07,32124397,61905840823,615947,6448206,20.07,,,13-Jul-20,1935,2031.75,1838.25,
RELIANCE,EQ,14-Jul-20,1935,1934,1941.7,1887.3,1915,1917,1917.96,31073591,59597787129,569875,8520789,27.42,,,14-Jul-20,1917,2012.85,1821.15,
RELIANCE,EQ,15-Jul-20,1917,1937.95,1978.8,1798,1842.35,1844,1917.63,64458598,1.24E+11,1285533,10789672,16.74,,,15-Jul-20,1844,1936.2,1751.8,
RELIANCE,EQ,16-Jul-20,1844,1847,1869,1812.45,1842.05,1843.4,1844.01,28133993,51879421166,543130,6562839,23.33,,,16-Jul-20,1843.4,1935.57,1751.23,
RELIANCE,EQ,17-Jul-20,1843.4,1845,1920,1838,1916,1911.7,1876.25,22949535,43059161082,487421,4591431,20.01,,,17-Jul-20,1911.7,2007.285,1816.115,
RELIANCE,EQ,20-Jul-20,1911.7,1917.8,1932,1899.65,1921.95,1919.9,1916.93,16887752,32372604466,339625,3836078,22.72,,,20-Jul-20,1919.9,2015.895,1823.905,
RELIANCE,EQ,21-Jul-20,1919.9,1939,1977,1936.5,1973.5,1971.55,1962.43,19463498,38195689330,375090,5672596,29.14,,,21-Jul-20,1971.55,2070.1275,1872.9725,
RELIANCE,EQ,22-Jul-20,1971.55,1983,2010,1960.7,2004,2004,1993.46,27584769,54989120617,547567,8711054,31.58,,,22-Jul-20,2004,2104.2,1903.8,
RELIANCE,EQ,23-Jul-20,2004,2003.95,2079.7,1991.35,2076,2057.8,2035.95,26921058,54810058388,498584,9589647,35.62,,,23-Jul-20,2057.8,2160.69,1954.91,
RELIANCE,EQ,24-Jul-20,2057.8,2058,2163,2057.8,2148.4,2146.15,2128.53,55656793,1.18E+11,1078097,12522509,22.5,,,24-Jul-20,2146.15,2253.4575,2038.8425,
RELIANCE,EQ,27-Jul-20,2146.15,2178.8,2198.8,2127.9,2154.95,2156.2,2169.68,37060949,80410276312,781374,5262824,14.2,,,27-Jul-20,2156.2,2264.01,2048.39,
RELIANCE,EQ,28-Jul-20,2156.2,2156.2,2194,2150.65,2177,2177.7,2175.67,25435618,55339580394,528044,5577191,21.93,,,28-Jul-20,2177.7,2286.585,2068.815,
RELIANCE,EQ,29-Jul-20,2177.7,2177.9,2182.8,2070.45,2092,2096.65,2124.29,33536361,71241119090,738739,9443206,28.16,,,29-Jul-20,2096.65,2201.4825,1991.8175,
RELIANCE,EQ,30-Jul-20,2096.65,2099,2139.7,2072,2101.9,2108.85,2111.03,33624516,70982380956,663693,6855972,20.39,,,30-Jul-20,2108.85,2214.2925,2003.4075,
RELIANCE,EQ,31-Jul-20,2108.85,2114.5,2129,2052.8,2070,2067.1,2077.02,34593375,71851185920,748942,9000404,26.02,,,31-Jul-20,2067.1,2170.455,1963.745,
RELIANCE,EQ,3-Aug-20,2067.1,2051.3,2057,2003.1,2007.65,2009,2029.05,21560137,43746668081,515571,6839066,31.72,,,3-Aug-20,2009,2109.45,1908.55,
RELIANCE,EQ,4-Aug-20,2009,2020.6,2167,2000.25,2158.4,2150.6,2098.08,42477225,89120494925,827312,7253795,17.08,,,4-Aug-20,2150.6,2258.13,2043.07,
RELIANCE,EQ,5-Aug-20,2150.6,2169,2196,2118.3,2132.1,2126.45,2153.72,34405886,74100545222,704272,3949479,11.48,,,5-Aug-20,2126.45,2232.7725,2020.1275,
RELIANCE,EQ,6-Aug-20,2126.45,2157,2167.7,2107.8,2136.55,2134.1,2139.59,22762726,48702811222,468092,3095157,13.6,,,6-Aug-20,2134.1,2240.805,2027.395,
RELIANCE,EQ,7-Aug-20,2134.1,2129.8,2157.8,2120.2,2146,2146.45,2141.31,15222384,32595833726,329099,3705643,24.34,,,7-Aug-20,2146.45,2253.7725,2039.1275,
RELIANCE,EQ,10-Aug-20,2146.45,2159.1,2165,2108.1,2121.6,2119.85,2136.58,12441939,26583161119,300073,2893247,23.25,,,10-Aug-20,2119.85,2225.8425,2013.8575,
RELIANCE,EQ,11-Aug-20,2119.85,2134.8,2160,2100.35,2132.85,2133.8,2133.3,21611359,46103431136,491594,4174558,19.32,,,11-Aug-20,2133.8,2240.49,2027.11,
RELIANCE,EQ,12-Aug-20,2133.8,2121,2145,2106.8,2126.55,2127.6,2129.79,13967529,29747858193,308155,2213804,15.85,,,12-Aug-20,2127.6,2233.98,2021.22,
RELIANCE,EQ,13-Aug-20,2127.6,2128,2138.9,2110,2125.8,2122.05,2122.69,11459251,24324473969,266729,3601994,31.43,,,13-Aug-20,2122.05,2228.1525,2015.9475,
RELIANCE,EQ,14-Aug-20,2122.05,2122.55,2157,2089.25,2112,2113.8,2129.96,15333759,32660268152,346390,2362119,15.4,,,14-Aug-20,2113.8,2219.49,2008.11,
RELIANCE,EQ,17-Aug-20,2113.8,2105,2105,2070.1,2094.05,2091.35,2085.65,14297224,29819054668,324590,2115024,14.79,,,17-Aug-20,2091.35,2195.9175,1986.7825,
RELIANCE,EQ,18-Aug-20,2091.35,2085,2134.3,2082.35,2120.2,2118.55,2118.58,14097932,29867537549,281219,2559498,18.16,,,18-Aug-20,2118.55,2224.4775,2012.6225,
RELIANCE,EQ,19-Aug-20,2118.55,2141,2154,2121.35,2137,2131.55,2137.37,15731409,33623807599,288995,2518453,16.01,,,19-Aug-20,2131.55,2238.1275,2024.9725,
RELIANCE,EQ,20-Aug-20,2131.55,2120,2123.9,2088,2098.6,2097.05,2109.01,10402292,21938504436,267102,2363592,22.72,,,20-Aug-20,2097.05,2201.9025,1992.1975,
RELIANCE,EQ,21-Aug-20,2097.05,2118,2122,2077,2084.75,2081.85,2096.99,11667281,24466208120,296981,2236600,19.17,,,21-Aug-20,2081.85,2185.9425,1977.7575,
RELIANCE,EQ,24-Aug-20,2081.85,2091.4,2104.5,2070.5,2099.95,2095.75,2090.25,15099030,31560709786,323471,2697292,17.86,,,24-Aug-20,2095.75,2200.5375,1990.9625,
RELIANCE,EQ,25-Aug-20,2095.75,2106,2111.3,2078,2082,2082.1,2089.41,8947709,18695434041,202929,2014450,22.51,,,25-Aug-20,2082.1,2186.205,1977.995,
